breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
airedale terrier,medium,45 - 50 lbs,"22"" - 23""",12 - 14 years,"Waterside Terrier, Bingley Terrier",terrier,England,"Companion Dog, Guard Dog, Police Dog","Originated in 19th century Yorkshire, England, along the Aire River, when an Otter Hound was bred with a Black-and-Tan Terrier.","The Airedale Terrier is a bold, adventurous and playful breed.",Maligation tumors; CHD; hyperthyroidism; gastric torsion,high,low,TRUE,airedale,TRUE,FALSE,airedale terrier
akita,large,75 - 110 lbs,"24"" - 28""",10 - 12 years,"Akita Inu, Japanese Akita",working,Ancient Japan,Companion Dog,"Named for the Akita province of Japan where this dog was used for hunting over 5,000 years ago.","The Akita is a bold, independent and stubborn breed.",Hyperthyroidism; pemphigus foliaceous,medium,high,TRUE,akita,FALSE,FALSE,akita
alaskan malamute,large,75 - 85 lbs,"23"" - 25""",10 - 12 years,N/A,working,Alaska,"Companion Dog, Sled Dog",Used ,"The Alaskan Malamute is independent, strong-willed and fun-loving.",Hip dysplasia; dwarphism; hemolytic anemia; congenital kidney disorders,high,high,TRUE,malamute,FALSE,FALSE,alaskan malmute
american cocker spaniel,small,24 - 28 lbs,"14"" - 15""",12 - 15 years,Cocker Spaniel,sporting,United States,Companion Dog,"Originated in the 19th century for hunting small game, this breed is descended from British ""cocking"" Spaniels.","The American Cocker Spaniel is gentle, playful, friendly and trainable.",Hypothyroidism; patellar luxation; autoimmune diseases; urinary tract problems; skin conditions; eye and ear problems,medium,high,,,,,
american eskimo dog,small,18 - 35 lbs,"15"" - 19""",13 - 15 years,N/A,non-sporting,N/A,Companion Dog,N/A,"The American Eskimo Dog is a bright, fun-loving and eager-to-please breed.",Minor concerns with CHD; PRA; patellar luxation,medium,high,,,,,
american foxhound,large,65 - 70 lbs,"21"" - 25""",12 - 13 years,N/A,hound,United States,"Companion Dog, Hunting","This sport breed was particularly popular in the South for trailing fox. Descended from Hounds of European ancestry, the Foxhound was breed is recorded back to 1850.","The American Foxhound is a gentle, tolerant, and amiable hunting breed.",Thrombocytopathy,high,medium,,,,,
american staffordshire terrier,medium,50 - 65 lbs,"17"" - 19"" ",12 - 14 years,Pit Bull Terrier,terrier,United States,"Companion Dog, Guard Dog",Originally bred in the 1800s for bullbaiting and dog fighting,"The American Staffordshire Terrier is usually protective of its family. This breed tends to be stubborn, tenacious and fearless.",CHD; PRA; cerebellar ataxia,high,low,,,,,
american water spaniel,medium,25 - 45 lbs,"15"" - 18""",10 - 12 years,N/A,sporting,United States,"Companion Dog, Hunting",Bred in the early 1800s in the Midwest for bird flushing and retrieving.,"The American Water Spaniel is a friendly, water-loving breed with strong retrieving and hunting instincts. However, the American Water Spaniel has a tendency to whine and bark if not properly trained.",Mitral valve disease,high,high,,,,,
anatolian shepherd dog,large,80 - 150 lbs,"27"" - 29""",10 - 13 years,"kban kopegi, karabash dog, kangal dog",working,Turkey,"Companion Dog, Guard Dog","Flock guardian for nomadic tribes over 4,000 years ago.","The Anatolian Shepherd is friendly, easygoing, dutiful and protective of its family.",CHD,medium,high,,,,,
anglo-french hound,large,66 - 79 lbs,"24"" - 27""",12 - 13 years,Chien Anglo-Francais de Moyen Venerie,hound,France,Hunting, A cross of English and French hounds in the early 1600s most commonly used in large-game hunting packs.,"Spirited, eager to please and vigorous hunters.",Excellent health record. No known hereditary conditions.,high,low,,,,,
ariegeois,large,63 - 70 lbs,"24"" - 27""",13 - 15 years,N/A,hound,France,"Companion Dog, Hunting Dog","A descendant of the Bleu de Gascogne, Gascon Sain-tongeois and Chien d'Artois in the southern French province of Ariegeois. This rare breed is an expert at rabbit hunting and was first recognized in 1912.","The Ariegeois is energetic, free-spirited, and typically friendly",Excellent health record. No known hereditary conditions.,high,low,,,,,
australian cattle dog,medium,33 - 55 lbs,"17"" - 20""",12 - 15 years,"Queensland Heeler, Blue Heeler, Red Heeler, Hall's Heeler",herding,Australia,Companion Dog,"This breed dates back to about 1897 when it was developed by pioneer settlers to herd livestock. It originates from a mix of Smooth-Coated Collie, Dingo, Dalmatian, Australian Kelpie and Bull Terrier.","The Australian Cattle Dog is a high-energy, smart, strong-willed breed that tends to be wary of strangers.",CHD; OCD; PRA; deafness; elbow dysplasia,high,medium,,,,,
australian kelpie,medium,25 - 45 lbs,"17"" - 23""",12 - 14 years,"Kelpie, Barb",herding,Australia,"Companion Dog, Herding, Show Dog",This breed dates back to the 1870s and is thought to be a mix of Border Collie and a mixed breed named Kelpie. Some believe that the breed originally included Dingo.,"Australian Kelpie is a friendly, loyal, intelligent and agile breed.",A very hardy breed.,high,low,,,,,
australian silky-haired terrier,small,12 - 14 lbs,"10"" - 11""",12 - 14 years,Australian Terrier,terrier,Australia,Companion Dog,"Descendant of Cain, Skye, Scotch and Yorkshire Terriers, this breed was used to chase rodents in the 19th century.","The Australian Silky-Haired Terrier is fun-loving, adventurous, tenacious and obedient.",Diabetes; mellitus; undescended testicles; yeast dermatitis,low,high,,,,,
austrian short-haired pinscher,medium,26 - 40 lbs,"14"" - 24""",N/A,Osterreichischer Kurzhaariger Pinscher,working,Austria,"Companion Dog, Guard Dog","Closely related to the Standard Pinscher, this dog was raised to be a good farm dog. This breed is quite rare outside of Austria.","The Austrian Short-Haired Pinscher is fearless, loyal and eager-to-please.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
auvergne pointer,medium,49 - 55 lbs,"22"" - 24""",N/A,"Braque d'Auvergne, Bleu d'Auvergne",sporting,France,"Companion Dog, Hunting","A descendant of ancient French Pointers and Gascony Hounds, this regional breed was established in the late 18th century and can be difficult to find today.","The Auvergne Pointer is a lively, sensitive, obedient pointing and retrieving dog.",Excellent health record. No known hereditary conditions.,medium,low,,,,,
balkan hound,medium,44 lbs,"18"" - 21""",N/A,"Balkanski Gonic, Serbian Hound",hound,"Serbia, former Yugoslavia","Companion Dog, Hunting, Police Dog","Named after the region formerly known as Yugoslavia, popular legend has it that this breed was originally from Egypt and was later brought to Europe by the Phoenicians around 1000 B.C. This breed is still used by boar hunters and police today.","The Balkan Hound is intelligent, energetic, tenacious and good-natured.",Excellent health record. No known hereditary conditions.,high,low,,,,,
banjara greyhound,medium,50 - 65 lbs,"27"" - 29""",12 - 13 years,N/A,hound,India,Companion Dog,This breed was established in rural India for hunting game.,The Banjara Greyhound is free-spirited and energetic.,Excellent health record. No known hereditary conditions.,high,low,,,,,
basenji,small,21 - 24 lbs,"16"" - 17""",10 - 13 years,"Congo Dog, Congo Terrier",hound,Central Africa (Congo),"Companion Dog, Lure Coursing","Basenjis were originally used in Ancient Times as pack hunters. This ""barkless"" dog is said to ""yodel"" when happy and ""scream"" when upset.","An independent, ""cat-like"" breed that's friendly, feisty and strong-willed.",Pyruvate kinase deficiency; immunoproliferative enteropathy; persistent pupillary membrane; retinal atrophy,high,low,TRUE,basenji,TRUE,TRUE,basenji
basset griffon vendeen,medium,30 - 40 lbs,"Grand (15"" - 17""), Petit (13"" - 15"")",14+ years,"Griffon, Roughie",hound,France,"Companion Dog, Hunting","This breed dates back to 16th century in the Vendee region in southern France, where this dog was bred to hunt small game.","The Bassett Griffon Vendeen is loyal, carefree, extroverted and eager-to-please.",Hyperthyroidism; allergies; epilepsy; ear infections,high,medium,,,,,
basset hound,medium,40 - 60 lbs,"14""",10 - 12 years,N/A,hound,France,"Companion Dog, Hunting, Show Dog","A descendant of French scenthounds, this breed dates back to the 16th century when it was used as a pack hound to hunt small game.",Basset Hounds are a friendly and easy-going breed.,Prone to illness and require more veterinary care than most dogs. Patellar luxation; elbow dysplasia; ectropion/entropion; glaucoma; otitis externa; cervical vertebral instability; epilepsy; bleeding disorders; lymphoma,medium,low,TRUE,hound/basset,TRUE,TRUE,basset hound
basset artesian normand,medium,33 lbs.,"10"" - 14""",13 - 15 years,N/A,hound,France,"Companion Dog, Hunting","Dating back to the 1600s in Artois and Normandy, this is one of the recognized French Basset breeds. The breed was first recognized in 1911.",The Bassett Artesian Normand is a good-natured and obedient game hunter that tends to be a bit headstrong.,Excellent health record. No known hereditary conditions.,medium,low,,,,,
bavarian mountain dog,large,55 - 75 lbs,"20"" or less",N/A,Bayrischer Gebirgsschweisshund,working,Germany,"Companion Dog, Hunting","Named for the area of southern Germany, this breed is a shorter, smaller version of the Hanover. It is also thought to be mixed with Tyrolean Hounds. It was originally bred during the Middle Ages to track large game.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
beagle,small,18 - 30 lbs,"21"" - 25""",12 - 15 years,English Beagle,hound,England,"Companion Dog, Hunting","Dating back to the early 14th century, Celtic tribes used this breed for small game hunting.","The Beagle is gentle, lively and sociable.",Hypothyroidism; atopy; epilepsy; glaucoma; progressive retinal atrophy; bleeding disorders; pulmonic stenosis,high,low,TRUE,beagle,TRUE,TRUE,beagle
beagle harrier,medium,44 lbs,"17"" - 19""",12 - 13 years,N/A,hound,France,"Companion Dog, Hunting","A cross between a Beagle and a Harrier in late 19th century France, this dog was bred for game hunting. This dog is rare outside of its native France.",,Excellent health record. No known hereditary conditions.,high,high,,,,,
bearded collie,medium,40 - 60 lbs,"20"" - 22""",12 - 15 years,Beardie,herding,Scotland,Companion Dog,"A descendant of the Polish Sheepdog, this herding dog was introduced to Scotland in 1541 by a sea captain in trade for some livestock.",,Excellent health record. No known hereditary conditions.,high,high,,,,,
beauce shepherd,large,65 - 85 lbs,"24"" - 28""",10 - 12 years,"Beauceron, Berger de Beauce, Bas-Rouge",herding,France,"Companion Dog, Herding, Tracking","One of France's largest sheepdogs, this breed dates back to the late 1500s. It may be related to the Doberman.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
bedlington terrier,small,18 - 23 lbs,"15"" - 17""",17+ years,N/A,terrier,England,Companion Dog,A mix between the Rothbury Terrier and a Terrier from the Bedlington district in England in 1825.,"The Bedlington Terrier is an affectionate, loyal and playful breed.",Copper Storage Disease; kidney disorders; PRA,high,high,,,,,
belgian malinois,medium,40 - 80 lbs,"22"" - 26""",10 - 12 years,Chien de Berger Belge,herding,Belgium,"Companion Dog, Guard Dog","Bred for herding and guarding livestock, the Malinois was originally recognized as the Belgian Shepherd in 1891. While rare in the U.S., this breed is still popular in its native Belgium.","The Belgian Malinois is a high energy, intelligent, playful, intense and protective breed.",Minor concerns with epilepsy; eye problems; hip dysplasia; excessive shyness,high,low,TRUE,malinois,FALSE,TRUE,belgian shepherd / malinois
belgian sheepdog,large,55 - 75 lbs,"21"" - 26""",10 - 14 years,"Continental Shepherd, Groenendael",herding,Belgium,Companion Dog,A working farm dog selectively bred for its long black coat since 1893.,,Excellent health record. No known hereditary conditions.,high,high,TRUE,groenendael,TRUE,TRUE,belgian shepherd / sheepdog
belgian tervuren,medium,40 - 65 lbs,"22"" - 26""",10 - 13 years,N/A,herding,Belgium,Companion Dog,"Named for the village of Tervuren where it has its ancestry, this breed dates back to the 1800s when this dog was used for herding and guarding livestock.","The Belgian Tervuren is energetic, alert and watchful.",Seizures,high,high,,,,,
bergamasco,large,57 - 84 lbs,"22"" - 24""",13 - 15 years,Bergamese Shepherd,miscellaneous,Italy,"Companion Dog, Guard Dog","Dating back at least 2000 years, this ancient breed was used to herd and protect livestock.",,Excellent health record. No known hereditary conditions.,medium,low,,,,,
bernese hound,medium,33 - 44 lbs,"12"" - 22""",N/A,Schweizerischer Laufhund,hound,Switzerland,"Companion Dog, Hunting",This ancient hunting dog dates back to the Roman Empire. This Swiss Hound has no English blood.,,Excellent health record. No known hereditary conditions.,high,high,,,,,
bernese mountain dog,large,80 - 90 lbs,"23"" - 28""",10 - 12 years,"Berner Sennenhund, Bernese Cattle Dog",working,Switzerland,"Companion Dog, Herding",May date back to the Roman invasion of Switzerland when this dog was used to guard flocks.,"The Bernese Mountain Dog is easy-going, gentle and family oriented",CHD; hip and elbow dysplasia; mast cell tumor; gastric torsion; may not tolerate hot weather,high,medium,TRUE,mountain/bernese,TRUE,FALSE,bernese mountain dog
bichon frise,small,10 - 14 lbs,"9"" - 12""",12 - 15 years,"Bichon Tenerife, Bichon a Poil Frise",non-sporting,Mediterranean,Companion Dog,"Dating back to the Middle Ages, this breed was favored by royalty as a companion dog and performer.","The Bichon Frise is playful, gentle and affectionate",Allergies; patellar luxation; Cushing's disease,medium,high,,,,,
billy,large,55 - 73 lbs,"23"" - 28""",12 - 13 years,N/A,working,United States,Hunting,"Dating back to the 1700s, this breed is most likely a mix of Bloodhound and Foxhound",,Excellent health record. No known hereditary conditions.,high,low,,,,,
black and tan coonhound,medium,50 - 75 lbs,"23"" - 27""",10 - 12 years,American Black and Tan Coonhound,hound,France,"Hunting, Tracking","This extremely rare breed is named for the Chateau Billy in Poitou, France. The breed was nearly extinct after WWII.","The Black and Tan Coonhound is good-natured, intelligent, loyal and mellow.",CHD; hip dysplasia; ectropion; hemophilia,high,low,,,,,
black forest hound,medium,44 - 49 lbs,"18"" - 20""",10 - 12 years,"Slovakian Hound, Slovensky Kopov",hound,Czechoslovakia,"Hunting, Watchdog","Used for centuries, this hunting dog is descended from dogs from the Balkans and Hungary. Recognized as a breed after WWII.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
bloodhound,large,80 - 110 lbs,"23"" - 27""",10 - 12 years,St. Hubert's Hound,hound,Belgium / England,Hunting,"Dating back to the Middle Ages, this Hound was used to trail game.",The Bloodhound is extremely affectionate and an incomparable scent tracker,Hip dysplasia; bloat; ectropion; entropion; otitis externa,high,low,TRUE,hound/blood,TRUE,FALSE,bloodhound
blue lacy,medium,25 - 55 lbs,"18"" - 25""",12 - 15 years,Blue Lacy Hog Dog,working,United States,"Herding, Hunting, Watchdog","Named for the family of Kentucky pioneers that settled in Texas, this dog is a mix of Greyhound, scenthound and coyote. The official Texas state dog since 2001.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
bluetick coonhound,medium,45 - 80 lbs,"20"" - 27""",11 - 12 years,N/A,hound,United States,Companion Dog,"This breed is the result of selective breeding including English Coonhounds, Foxhounds, French Hounds and Curs that was established in 1945 in Louisiana.",,Excellent health record. No known hereditary conditions.,high,low,TRUE,bluetick,TRUE,FALSE,bluetick coonhound
bolognese,small,4.5 - 9 lbs,"10"" - 12""",14 years,Bichon Bolognese,non-sporting,Belgium,Companion Dog,"Dating back to the time of the Roman Empire, when the de Medici family gifted the breed to Belgian noblemen.",,Excellent health record. No known hereditary conditions.,medium,high,,,,,
border collie,medium,30 - 45 lbs,"17"" - 24""",12 - 14 years,N/A,herding,Great Britain,"Companion Dog, Herding, Police Dog, Service Dog","Bred to win the sheepdog trials of 1873, the Border Collie's breed standards were set in 1903.","The Border Collie is energetic, intelligent, outgoing and friendly.",CHD,high,high,TRUE,collie/border,TRUE,FALSE,border collie
border terrier,small,12 - 14 lbs,"10"" - 12""",13 - 15 years,N/A,terrier,Great Britain,"Companion Dog, Hunting",Bred in the 18th century to drive out foxes.,"The Border Terrier is friendly, playful and affectionate",Spike's Disease,medium,medium,,,,,
borzoi,large,60 - 105 lbs,"26"" - 30""",10 - 12 years,Russian Wolfhound,hound,Russia,"Companion Dog, Hunting",The Borzoi was likely brought to Russia from Arabia in the 1600s.,"The Borzoi is intelligent, sweet-natured and loyal.",Gastric torsion; sensitive to drugs,high,high,TRUE,borzoi,TRUE,TRUE,borzoi
boston terrier,small,10 - 25 lbs,"15"" - 17""",12 - 15 years,N/A,non-sporting,United States,Companion Dog,"In 1865, this first American breed was the result of a mix of English Terrier with an English Bulldog.","Sensitive, devoted and playful.",Heart defects; cataracts; patellar luxation; Cushing's Disease; prone to heatstroke,medium,low,TRUE,bulldog/boston,TRUE,TRUE,boston terrier
bouvier des flanders,large,65 - 100 lbs,"23.5"" - 27.5""",11 - 12 years,Belgian Cattle Dog,herding,Belgium,"Companion Dog, Herding",This farm dog originated in Belgium in the 17th century.,"The Bouvier des Flanders is loyal, devoted and fearless.",Hypothyroidism; lymphoma; bloat,high,low,TRUE,bouvier,FALSE,FALSE,bouvier des flanders
boxer,large,55 - 75 lbs,"21"" - 25""",8 - 10 years,N/A,working,Germany,"Companion Dog, Guard Dog",Bred for bull baiting and to chase large game in the 1800s.,"The Boxer is outgoing, playful and attentive.",Hypothyroidism; tumors; SAS; CHD,high,medium,TRUE,boxer,TRUE,TRUE,boxer
boykin spaniel,medium,25 - 40 lbs,"15"" - 18""",14 - 16 years,N/A,sporting,United States,"Companion Dog, Hunting",First bred by North Carolina hunters in the early 1900s.,"The Boykin Spaniel is docile, affectionate and obedient.",Hip dysplasia; eye problems,medium,high,,,,,
braque du bourbonnais setter,medium,35 - 55 lbs,"22""",13 - 15 years,Bourbonnais Pointer,sporting,France,"Gun Dog, Sporting","Named for the Bourbon region in France where it originated in the 1500s, this breed is quite rare today.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
brazilian mastiff,large,90 - 110 lbs,"24"" - 29.5""",9 - 11 years,"Fila Brasileiro, Brazilian Guard Dog, Brazilian Molosser, Cao de Fila",working,Brazil,"Guard Dog, Tracking","A descendant of the 15th century English Bull Mastiff, Bloodhounds, Bulldogs and Rafieros, this breed is banned in several countries.","Although friendly and protective of its human family, the Brazilian Mastiff may aggressive with strangers.",Hip dysplasia; bloat,high,low,,,,,
brazilian terrier,small,15 - 20 lbs,"14"" - 16""",12 - 14 years,Brazilian Tracker,terrier,Brazil,"Companion Dog, Tracking","Brought from Europe in the 1800s, this breed is likely a descendant of Jack Russell Terriers",,Excellent health record. No known hereditary conditions.,high,low,,,,,
briard,large,70 - 90 lbs,"22"" - 27""",10 - 12 years,Berger de Brie,herding,France,"Companion Dog, Herding",Used as a livestock guardian and herder since the Middle Ages in the Brie province.,"The Briard is loving, faithful and protective.",Hip dysplasia; bloat; hypothyroidism,high,high,TRUE,briard,TRUE,TRUE,briard
briquet griffon vendeen,medium,48 - 53 lbs,"20"" - 22""",12 years,N/A,working,France,"Companion Dog, Hunting",Bred during WWII to develop a medium-sized Griffon Vendeen.,"The Briquet Griffon Vendeen is loyal, carefree, extroverted and eager-to-please.",Hyperthyroidism; allergies; epilepsy; ear infections,high,medium,,,,,
brittany,medium,30 - 40 lbs,"17.5"" - 20.5""",12 - 13 years,"Brittany Spaniel, Epagneul Breton",sporting,France,Companion Dog,Originally bred in the Brittany region of France in the 17th and 18th century.,Sensitive and sweet natured.,Hip dysplasia; epilepsy; hemophilia,high,medium,,,,,
broholmer,large,87 - 153 lbs,"22"" - 30""",6 - 11 years,Danish Broholmer,working,Denmark,Companion Dog,"Used for stag hunting during the Middle Ages, this bred was also an excellent guard dog.",,Excellent health record. No known hereditary conditions.,medium,low,,,,,
bruno jura hound,medium,34 - 44 lbs,"17"" - 23""",12 - 13 years,Jura Laufhund,working,Switzerland (Middle Ages),"Companion Dog, Hunting","This breed is a descendant of many breeds native to the Swiss-French border, including the St. Hubert Hound, Swiss Laufhund and other local hounds.",,Excellent health record. No known hereditary conditions.,low,low,,,,,
brussels griffon,small,8 - 10 lbs,"7"" - 8""",12 - 15 years,Griffon Bruxellois,toy,Belgium,Companion Dog,Used as a ratter by Belgian coachmen in the 17th century.,"The Brussels Griffon is an alert, lively, intelligent and devoted breed.",Prone to heatstroke,medium,medium,TRUE,brabancon,TRUE,FALSE,brussels griffon
bull terrier,medium,50 - 60 lbs,"21"" - 22""",11 - 13 years,English Bull Terrier,terrier,England,Companion Dog,"Originally bred as fighting dogs around 1835, this breed is thought to be a mix of Bulldog and English Terrier.","The Bull Terrier is comical, playful and energetic.",Kidney problems,high,low,,,,,
bulldog,medium,40 - 50 lbs,40 - 50 lbs,"12"" - 14""",7 - 9 years,non-sporting,Great Britain,Companion Dog,"Originally bred for bull baiting in the 1600s, the breed has evolved to become a gentle and loving companion.","The Bulldog is an amicable, gentle and affectionate breed.",Hip and elbow dysplasia; eye problems; heart problems,medium,low,,,,,
bullmastiff,large,100 - 130 lbs,"24"" - 27""",8 - 10 years,N/A,working,England,"Companion Dog, Guard Dog",N/A,"The Bullmastiff is fearless, intelligent and devoted.",Skin conditions; hip and elbow dysplasia,high,medium,TRUE,mastiff/bull,TRUE,FALSE,bullmastiff
cairn terrier,small,13 - 14 lbs,"9"" - 10""",14+ years,N/A,terrier,Scotland,Companion Dog,Originally bred on the island of Skye to search out fox dens.,"The Cairn Terrier is loyal, lovable and mischievous.",Allergies; globoid cell leukoydstrophy,low,high,TRUE,cairn,TRUE,TRUE,cairn terrier
canaan dog,medium,35 - 55 lbs,"19"" - 24"" ",12 - 15 years,"Kalef K'naani, Kelev Cana'ani",herding,Israel,"Companion Dog, Herding","Originally bred from ancient wild dogs (dating back over 4,000 years) in the 1930s to guard and herd sheep.","Territorial, devoted and intelligent.",Epilepsy,medium,low,,,,,
cane coroso,large,80 - 140 lbs,"22"" - 28""",9 - 11 years,"Italian Coroso Dog, Chien de Cour Italien",workig,Italy,"Companion Dog, Guard Dog","Dating back to the 1600s, this dog was originally used herd cattle and for dog fighting.","The Cane Corso is an energetic, intelligent and loyal breed that can be aggressive toward strangers.",Bloat; sensitivity to drugs (including anesthetics and insecticides). It is recommended that owners find a veterinarian that is familiar with Greyhounds and / or related breeds because their sensitivity to anesthetics can make routine surgeries more complicated.,high,low,,,,,
cardigan welsh corgi,medium,25 - 38 lbs,"10.5"" - 12.5""",12 - 15 years,Welsh Corgi,herding,Wales,"Companion Dog, Guard Dog","Dating back to Ancient Times, this breed has been used to herd livestock and hunt.","The Cardigan Welsh Corgi is an affectionate, loyal and fun-loving breed.",CHD,medium,medium,TRUE,corgi/cardigan,TRUE,TRUE,welsh corgi
carolina dog,medium,30 - 40 lbs,"22""",12 - 14 years,American Dingo,hound,United States,Not fully domesticated,"This wild Native American dog, fond in a remote region in South Carolina, dates back to ancient times and looks almost identical to the Dingo.","The Carolina Dog is gentle, lively and sociable.",Excellent health record. No known hereditary conditions.,medium,low,,,,,
catahoula leopard,medium,50 - 90 lbs,"20"" - 26""",12 - 13 years,"Louisiana Catahoula Leopard Dog, Catahoula Hog Dog, Catahoula Cur",herding,United States,Companion Dog,This domesticated Native American breed may be descended from Carolina Dogs and from the Nordic Wolfhound. It was named the Louisiana state dog in 1979.,"The Catahoula Leopard is loyal, loving, athletic, territorial and protective.",Hip dysplasia; deafness,medium,low,,,,,
catalonian shepherd,medium,39 - 41 lbs,"18"" - 20""",12 - 14 years,"Catalan Sheepdog, Gos d'Autra Catala",herding,Spain,Companion Dog,Dating back to the 1700's this rare sheep herding breed is now nearly extinct.,"The Catalonian Shepherd is lively, obedient, clever and loyal.",Hip dysplasia,medium,medium,,,,,
cavalier king charles spaniel,small,13 - 18 lbs,"12"" - 13""",9 - 14 years,N/A,toy,England,Companion Dog,"A descendant of the English Toy Spaniel, this dog was bred for hunting small game and as a lap dog during the 17th century.","The Cavalier Kind Charles Spaniel is lively, affectionate and easy-going.",Syringomyelia; hereditary eye diseases; patellar luxation; epilepsy,medium,high,,,,,
cesky terrier,small,12 - 18 lbs,"10"" - 14""",12 - 14 years,"Czech Terrier, Bohemian Terrier",miscellaneous,Czechoslovakia,Companion Dog,"Originally bred for hunting and burrowing, this dog dates back to the 1940. It is thought to be a mix of Sealyham, Scottish and Dandie Dinmont Terriers",The Cesky Terrier is playful and protective.,Excellent health record. No known hereditary conditions.,low,medium,,,,,
charplaninatz,large,55 - 80 lbs,"22"" - 24""",11 - 12 years,"Illyrian Sheepdog, Sar Planina, Yugoslav Mountain Dog, Yugoslav Shepherd",working,Balkans/Macedonia,"Guard Dog, Herding","Dating back to the Middle Ages, this breed was relied upon to herd and guard sheep.","The Charplaninatz is an independent, serious-minded and protective working dog.",Excellent health record. No known hereditary conditions.,high,low,,,,,
chesapeake bay retriever,large,55 - 80 lbs,"21"" - 26""",10 - 12 years,N/A,sporting,United States,"Companion Dog, Gun Dog, Sporting","A cross of Irish Water Spaniel, Newfoundland and Bloodhound, this breed is a descendant of pups owned by a British sailors shipwrecked off of the Maryland coast in the early 1900s.","The Chesapeake Bay Retriever is an active, hardy and protective breed.",Hip dysplasia; retinal atrophy,high,low,,,,,
